Town,Zone,Delivery
Abington,4,80
Acushnet,2,40
Attleboro,4,80
Avon,4,80
Barnstable,2,40
Bellingham,5,100
Berkley,3,60
Boston,5,100
Bourne,0,0
Braintree,4,80
Brewster,3,60
Bridgewater,2,40
Brockton,3,60
Brookline,5,100
Cambridge,5,100
Canton,4,80
Carver,1,20
Chatham,4,80
Cohasset,4,80
Dartmouth,3,60
Dedham,5,100
Dennis,3,60
Dighton,3,60
Duxbury,2,40
East Bridgewater,3,60
Eastham,5,100
Easton,3,60
Fairhaven,2,40
Fall River,3,60
Falmouth,2,40
Foxborough,4,80
Franklin,4,80
Freetown,3,60
Halifax,2,40
Hanover,3,60
Hanson,2,40
Harwich,3,60
Hingham,4,80
Holbrook,4,80
Hopedale,5,100
Hopkinton,5,100
Hull,4,80
Kingston,2,40
Lakeville,2,40
Mansfield,4,80
Marion,2,40
Marshfield,2,40
Mashpee,2,40
Mattapoisett,2,40
Medfield,5,100
Medway,5,100
Mendon,5,100
Middleborough,2,40
Milford,5,100
Millis,5,100
Milton,4,80
Needham,5,100
New Bedford,2,40
Norfolk,5,100
North Adams,4,80
North Attleborough,4,80
Norton,3,60
Norwell,3,60
Norwood,4,80
Orleans,4,80
Pembroke,2,40
Plainville,4,80
Plymouth,0,0
Plympton,2,40
Provincetown,5,100
Quincy,4,80
Randolph,4,80
Raynham,3,60
Rehoboth,4,80
Rochester,2,40
Rockland,3,60
Sandwich,1,20
Scituate,3,60
Seekonk,4,80
Sharon,4,80
Somerset,4,80
Stoughton,4,80
Swansea,4,80
Taunton,3,60
Truro,5,100
Upton,5,100
Walpole,4,80
Waltham,5,100
Wareham,1,20
Wellesley,5,100
Wellfleet,5,100
West Bridgewater,3,60
Westport,3,60
Westwood,4,80
Weymouth,4,80
Whitman,3,60
Wrentham,4,80
Yarmouth,2,40
