group_id,cx,cy,radius,z_index,shape,rotation
1,172,351,20.3125,5,circleShape,0
1,156,350,20.3125,7,circleShape,0
1,145,355,20.3125,9,circleShape,0
1,176,358,20.3125,11,circleShape,0
1,153,172,17.1875,13,circleShape,0
1,183,173,17.1875,15,circleShape,0
1,178,169,17.1875,17,circleShape,0
1,144,172,17.1875,19,circleShape,0
1,159,168,6.25,21,circleShape,0
1,165,180,6.25,23,circleShape,0
1,150,180,6.25,25,circleShape,0
1,156,172,6.25,27,circleShape,0
1,155,361,6.25,29,circleShape,0
1,147,373,6.25,31,circleShape,0
1,162,373,6.25,33,circleShape,0
1,155,372,6.25,35,circleShape,0
2,163,326,14.0625,37,circleShape,0
2,177,331,14.0625,39,circleShape,0
2,146,327,14.0625,41,circleShape,0
2,157,332,14.0625,43,circleShape,0
2,180,198,14.0625,45,circleShape,0
2,145,198,14.0625,47,circleShape,0
2,159,197,14.0625,49,circleShape,0
2,179,193,6.25,51,circleShape,0
2,179,208,6.25,53,circleShape,0
2,176,200,6.25,55,circleShape,0
2,186,200,6.25,57,circleShape,0
2,130,318,6.25,59,circleShape,0
2,134,310,6.25,61,circleShape,0
2,137,328,6.25,63,circleShape,0
2,142,318,6.25,65,circleShape,0
3,159,216,10.9375,67,circleShape,0
3,181,219,10.9375,69,circleShape,0
3,172,220,10.9375,71,circleShape,0
3,145,220,10.9375,73,circleShape,0
3,163,300,10.9375,75,circleShape,0
3,147,300,10.9375,77,circleShape,0
3,177,298,10.9375,79,circleShape,0
3,173,300,10.9375,81,circleShape,0
3,178,308,10.9375,83,circleShape,0
3,149,217,6.25,85,circleShape,0
3,163,217,6.25,87,circleShape,0
3,154,209,6.25,89,circleShape,0
3,156,222,6.25,91,circleShape,0
3,151,313,6.25,93,circleShape,0
3,160,298,6.25,95,circleShape,0
3,165,312,6.25,97,circleShape,0
3,159,309,6.25,99,circleShape,0
3,142,309,6.25,101,circleShape,0
3,172,208,6.25,103,circleShape,0
1,160,125,37.5,3,circleShape,0
1,113,332,48,105,image(assets/silverstar.png),0
1,196,176,48,107,image(assets/silverstar.png),0
1,160,250,60,109,image(assets/silverfringe.png),0
1,160,140,28,999,image(assets/custom-black.png),0
