group_id,cx,cy,radius,z_index,shape
1,258,139,17.1875,5,heliumShape
1,192,148,17.1875,7,heliumShape
1,332,143,17.1875,9,heliumShape
1,407,154,17.1875,11,heliumShape
1,420,231,17.1875,13,heliumShape
1,324,224,17.1875,15,heliumShape
1,179,217,17.1875,17,heliumShape
2,163,177,17.1875,19,heliumShape
2,193,225,17.1875,21,heliumShape
2,240,175,17.1875,23,heliumShape
2,243,222,17.1875,25,heliumShape
2,307,181,17.1875,27,heliumShape
2,315,222,17.1875,29,heliumShape
2,388,184,17.1875,31,heliumShape
2,386,237,17.1875,33,heliumShape
3,213,215,17.1875,35,heliumShape
3,214,254,17.1875,37,heliumShape
3,243,253,17.1875,39,heliumShape
3,268,177,17.1875,41,heliumShape
3,276,216,17.1875,43,heliumShape
3,342,184,17.1875,45,heliumShape
3,349,222,17.1875,47,heliumShape
3,314,255,17.1875,49,heliumShape
3,418,193,17.1875,51,heliumShape
3,403,269,17.1875,53,heliumShape
3,377,218,17.1875,55,heliumShape
2,203,186,21.875,57,circleShape
2,188,256,21.875,59,circleShape
2,280,245,21.875,61,circleShape
2,340,254,21.875,63,circleShape
2,378,186,21.875,65,circleShape
