group_id,cx,cy,radius,z_index,shape,rotation
1,269,91,15.625,7,circleShape,90
1,235,100,15.625,9,heliumShape,45
1,206,128,15.625,11,heliumShape,22
1,186,164,15.625,13,heliumShape,12
1,177,200,15.625,15,heliumShape,3
1,172,282,15.625,17,heliumShape,0
1,173,240,15.625,19,heliumShape,0
2,168,336,12.5,21,circleShape,0
2,340,340,12.5,23,circleShape,0
1,351,339,12.5,25,circleShape,0
1,324,340,12.5,27,circleShape,0
1,179,337,12.5,29,circleShape,0
1,155,336,12.5,31,circleShape,0
2,352,352,12.5,33,circleShape,0
2,325,352,12.5,35,circleShape,0
2,178,346,12.5,37,circleShape,0
2,339,371,12.5,39,circleShape,0
2,158,345,12.5,41,circleShape,0
2,166,362,12.5,43,circleShape,0
1,339,355,12.5,45,circleShape,0
1,350,368,12.5,47,circleShape,0
1,324,371,12.5,49,circleShape,0
1,165,347,12.5,51,circleShape,0
1,178,362,12.5,53,circleShape,0
1,153,363,10.9375,55,circleShape,90
1,341,245,15.625,57,heliumShape,1
1,340,206,15.625,59,heliumShape,-5
1,336,166,15.625,61,heliumShape,-16
1,323,126,15.625,63,heliumShape,-22
1,300,97,15.625,65,heliumShape,-38
1,341,286,15.625,67,heliumShape,-2
1,171,321,15.625,69,heliumShape,-2
1,341,326,15.625,71,heliumShape,-2
2,177,263,6.25,73,circleShape,-2
2,172,223,6.25,75,circleShape,-2
2,185,186,6.25,77,circleShape,-2
2,192,149,6.25,79,circleShape,-2
2,214,111,6.25,81,circleShape,-2
2,253,98,6.25,83,circleShape,-2
2,287,88,6.25,85,circleShape,-2
2,309,117,6.25,87,circleShape,-2
2,335,148,6.25,89,circleShape,-2
2,335,190,6.25,91,circleShape,-2
2,346,230,6.25,93,circleShape,-2
2,337,269,6.25,95,circleShape,-2
2,346,310,6.25,97,circleShape,-2
2,167,306,6.25,99,circleShape,-2
3,176,306,6.25,101,circleShape,-2
3,168,265,6.25,103,circleShape,-2
3,179,224,6.25,105,circleShape,-2
3,177,184,6.25,107,circleShape,-2
3,199,153,6.25,109,circleShape,-2
3,251,89,6.25,111,circleShape,-2
3,285,98,6.25,113,circleShape,-2
3,319,110,6.25,115,circleShape,-2
3,328,152,6.25,117,circleShape,-2
3,342,190,6.25,119,circleShape,-2
3,336,230,6.25,121,circleShape,-2
3,347,270,6.25,123,circleShape,-2
3,336,311,6.25,125,circleShape,-2
3,220,119,6.25,127,circleShape,-2
