group_id,cx,cy,radius,z_index,shape,rotation
1,177,322,17.1875,5,circleShape,0
1,209,323,17.1875,7,circleShape,0
1,175,373,17.1875,9,circleShape,0
1,208,371,17.1875,11,circleShape,0
2,172,342,17.1875,13,circleShape,0
2,213,340,17.1875,15,circleShape,0
2,191,350,17.1875,17,circleShape,0
3,186,307,6.25,19,circleShape,0
3,198,307,6.25,21,circleShape,0
3,192,317,6.25,23,circleShape,0
3,163,352,4.6875,25,circleShape,0
3,170,346,4.6875,27,circleShape,0
3,171,355,4.6875,29,circleShape,0
3,217,351,4.6875,31,circleShape,0
3,212,356,4.6875,33,circleShape,0
3,211,347,4.6875,35,circleShape,0
1,193,259,60,1,image(assets/foil1.png),0
