group_id,cx,cy,radius,z_index,shape,rotation
1,461,337,14.0625,5,circleShape,0
1,470,365,14.0625,7,circleShape,0
1,397,373,14.0625,9,circleShape,0
1,368,373,14.0625,11,circleShape,0
1,360,364,14.0625,13,circleShape,0
1,348,335,14.0625,15,circleShape,0
1,443,294,14.0625,17,circleShape,0
1,417,280,14.0625,19,circleShape,0
1,385,289,14.0625,21,circleShape,0
1,363,307,14.0625,23,circleShape,0
1,382,327,14.0625,25,circleShape,0
1,419,312,14.0625,27,circleShape,0
1,423,342,14.0625,29,circleShape,0
1,402,353,14.0625,31,circleShape,0
1,462,337,14.0625,33,circleShape,0
1,329,333,8.59375,35,circleShape,0
1,384,308,8.59375,37,circleShape,0
1,400,303,8.59375,39,circleShape,0
1,398,317,8.59375,41,circleShape,0
1,406,330,8.59375,43,circleShape,0
1,394,336,8.59375,45,circleShape,0
1,383,356,8.59375,47,circleShape,0
1,371,346,8.59375,49,circleShape,0
1,438,330,8.59375,51,circleShape,0
1,459,307,8.59375,53,circleShape,0
1,444,315,8.59375,55,circleShape,0
1,424,296,8.59375,57,circleShape,0
1,364,329,8.59375,59,circleShape,0
1,346,350,8.59375,61,circleShape,0
1,431,366,21.875,63,circleShape,0
1,332,366,21.875,65,circleShape,0
1,405,291,14.84375,67,circleShape,0
1,448,345,14.84375,69,circleShape,0
1,399,244,14.84375,71,circleShape,0
1,434,240,14.84375,73,circleShape,0
1,445,267,14.84375,75,circleShape,0
1,423,253,14.84375,77,circleShape,0
1,458,235,14.84375,79,circleShape,0
1,380,255,7.03125,81,circleShape,0
1,367,256,7.03125,83,circleShape,0
1,383,266,7.03125,85,circleShape,0
1,397,271,7.03125,87,circleShape,0
1,409,260,7.03125,89,circleShape,0
1,430,274,7.03125,91,circleShape,0
1,443,284,7.03125,93,circleShape,0
1,462,264,7.03125,95,circleShape,0
1,457,251,7.03125,97,circleShape,0
1,368,230,22.65625,99,circleShape,0
1,426,218,22.65625,101,circleShape,0
2,386,181,7.8125,103,circleShape,0
2,376,143,7.8125,105,circleShape,0
2,366,140,7.8125,107,circleShape,0
2,350,136,7.8125,109,circleShape,0
2,382,130,7.8125,111,circleShape,0
2,401,162,7.8125,113,circleShape,0
2,409,166,7.8125,115,circleShape,0
2,413,184,7.8125,117,circleShape,0
2,427,189,7.8125,119,circleShape,0
2,393,216,7.8125,121,circleShape,0
2,399,222,7.8125,123,circleShape,0
2,389,161,14.84375,125,circleShape,0
2,403,205,14.84375,127,circleShape,0
2,449,187,14.84375,129,circleShape,0
2,384,206,14.84375,131,circleShape,0
2,399,183,14.84375,133,circleShape,0
2,419,146,14.84375,135,circleShape,0
2,424,129,14.84375,137,circleShape,0
2,395,143,14.84375,139,circleShape,0
2,397,111,14.84375,141,circleShape,0
2,353,114,14.84375,143,circleShape,0
2,373,98,14.84375,145,circleShape,0
2,371,120,14.84375,147,circleShape,0
2,391,82,14.84375,149,circleShape,0
2,407,130,8.59375,151,circleShape,0
2,360,128,8.59375,153,circleShape,0
2,417,111,8.59375,155,circleShape,0
2,333,118,21.875,157,circleShape,0
2,355,164,21.875,159,circleShape,0
2,436,164,21.875,161,circleShape,0
3,340,89,7.03125,163,circleShape,0
3,374,84,7.03125,165,circleShape,0
3,403,94,7.03125,167,circleShape,0
3,353,95,7.03125,169,circleShape,0
3,299,46,7.03125,171,circleShape,0
3,271,32,7.03125,173,circleShape,0
3,243,65,7.03125,175,circleShape,0
3,244,77,7.03125,177,circleShape,0
3,226,77,7.03125,179,circleShape,0
3,252,88,7.03125,181,circleShape,0
3,288,103,7.03125,183,circleShape,0
3,290,63,14.0625,185,circleShape,0
3,296,88,14.0625,187,circleShape,0
3,270,97,14.0625,189,circleShape,0
3,259,70,14.0625,191,circleShape,0
3,271,48,14.0625,193,circleShape,0
3,248,54,14.0625,195,circleShape,0
3,314,57,14.0625,197,circleShape,0
3,317,83,14.0625,199,circleShape,0
3,333,40,14.0625,201,circleShape,0
3,343,67,14.0625,203,circleShape,0
3,356,51,14.0625,205,circleShape,0
3,359,88,14.0625,207,circleShape,0
3,395,84,14.0625,209,circleShape,0
3,301,110,14.0625,211,circleShape,0
3,277,113,14.0625,213,circleShape,0
3,252,107,14.0625,215,circleShape,0
3,272,75,9.375,217,circleShape,0
3,284,85,9.375,219,circleShape,0
3,231,103,21.875,221,circleShape,0
3,378,57,21.875,223,circleShape,0
3,220,33,21.875,225,circleShape,0
3,220,54,14.0625,227,circleShape,0
3,327,101,14.0625,229,circleShape,0
3,208,79,14.0625,231,circleShape,0
3,233,70,7.8125,233,circleShape,0
3,328,68,7.8125,235,circleShape,0
3,334,84,7.8125,237,circleShape,0
3,303,72,7.8125,239,circleShape,0
3,248,38,7.8125,241,circleShape,0
3,199,58,14.0625,243,circleShape,0
