group_id,cx,cy,radius,z_index,shape,rotation
1,157,89,6.25,5,circleShape,0
1,188,91,6.25,7,circleShape,0
1,222,90,6.25,9,circleShape,0
1,254,90,6.25,11,circleShape,0
1,286,90,6.25,13,circleShape,0
1,317,89,6.25,15,circleShape,0
1,347,90,6.25,17,circleShape,0
1,380,90,6.25,19,circleShape,0
1,414,90,6.25,21,circleShape,0
1,415,121,6.25,23,circleShape,0
1,415,152,6.25,25,circleShape,0
1,415,185,6.25,27,circleShape,0
1,413,216,6.25,29,circleShape,0
1,413,248,6.25,31,circleShape,0
1,413,281,6.25,33,circleShape,0
1,413,313,6.25,35,circleShape,0
1,413,345,6.25,37,circleShape,0
1,380,347,6.25,39,circleShape,0
1,349,347,6.25,41,circleShape,0
1,317,347,6.25,43,circleShape,0
1,285,348,6.25,45,circleShape,0
1,253,348,6.25,47,circleShape,0
1,219,346,6.25,49,circleShape,0
1,188,346,6.25,51,circleShape,0
1,155,346,6.25,53,circleShape,0
1,153,314,6.25,55,circleShape,0
1,154,282,6.25,57,circleShape,0
1,154,251,6.25,59,circleShape,0
1,154,217,6.25,61,circleShape,0
1,153,187,6.25,63,circleShape,0
1,154,155,6.25,65,circleShape,0
1,155,123,6.25,67,circleShape,0
2,173,73,17.1875,69,circleShape,0
2,205,73,17.1875,71,circleShape,0
2,238,72,17.1875,73,circleShape,0
2,269,73,17.1875,75,circleShape,0
2,301,74,17.1875,77,circleShape,0
2,333,74,17.1875,79,circleShape,0
2,366,72,17.1875,81,circleShape,0
2,398,72,17.1875,83,circleShape,0
2,429,72,17.1875,85,circleShape,0
2,430,103,17.1875,87,circleShape,0
2,431,136,17.1875,89,circleShape,0
2,432,168,17.1875,91,circleShape,0
2,431,200,17.1875,93,circleShape,0
2,431,231,17.1875,95,circleShape,0
2,430,265,17.1875,97,circleShape,0
2,430,296,17.1875,99,circleShape,0
2,429,331,17.1875,101,circleShape,0
2,430,361,17.1875,103,circleShape,0
2,399,362,17.1875,105,circleShape,0
2,367,362,17.1875,107,circleShape,0
2,333,363,17.1875,109,circleShape,0
2,302,364,17.1875,111,circleShape,0
2,269,365,17.1875,113,circleShape,0
2,237,365,17.1875,115,circleShape,0
2,204,364,17.1875,117,circleShape,0
2,170,364,17.1875,119,circleShape,0
2,140,363,17.1875,121,circleShape,0
2,137,329,17.1875,123,circleShape,0
2,136,297,17.1875,125,circleShape,0
2,138,266,17.1875,127,circleShape,0
2,138,234,17.1875,129,circleShape,0
2,138,201,17.1875,131,circleShape,0
2,138,171,17.1875,133,circleShape,0
2,139,138,17.1875,135,circleShape,0
2,140,106,17.1875,137,circleShape,0
2,139,73,17.1875,139,circleShape,0
3,170,105,17.1875,141,circleShape,0
3,205,104,17.1875,143,circleShape,0
3,237,105,17.1875,145,circleShape,0
3,270,105,17.1875,147,circleShape,0
3,301,105,17.1875,149,circleShape,0
3,332,106,17.1875,151,circleShape,0
3,364,105,17.1875,153,circleShape,0
3,399,104,17.1875,155,circleShape,0
3,401,134,17.1875,157,circleShape,0
3,399,166,17.1875,159,circleShape,0
3,399,200,17.1875,161,circleShape,0
3,398,233,17.1875,163,circleShape,0
3,398,264,17.1875,165,circleShape,0
3,397,296,17.1875,167,circleShape,0
3,396,329,17.1875,169,circleShape,0
3,366,331,17.1875,171,circleShape,0
3,334,332,17.1875,173,circleShape,0
3,302,333,17.1875,175,circleShape,0
3,270,333,17.1875,177,circleShape,0
3,235,333,17.1875,179,circleShape,0
3,202,333,17.1875,181,circleShape,0
3,169,331,17.1875,183,circleShape,0
3,167,302,17.1875,185,circleShape,0
3,171,266,17.1875,187,circleShape,0
3,171,236,17.1875,189,circleShape,0
3,170,202,17.1875,191,circleShape,0
3,170,171,17.1875,193,circleShape,0
3,172,139,17.1875,195,circleShape,0
3,170,100,37,201,circleShape,0
3,170,100,30,203,image(assets/custom-black.png),0
1,435,100,60,205,image(assets/silverstar.png),0
