group_id,cx,cy,radius,z_index,shape,rotation
1,234,137,12.5,5,circleShape,0
1,174,143,12.5,7,circleShape,0
1,217,104,12.5,9,circleShape,0
1,240,102,14.84375,11,circleShape,0
1,209,111,14.84375,13,circleShape,0
1,198,145,23.4375,15,circleShape,0
1,219,125,7.8125,17,circleShape,0
1,239,120,7.8125,19,circleShape,0
1,223,107,7.8125,21,circleShape,0
1,230,119,7.8125,23,circleShape,0
1,192,119,7.8125,25,circleShape,0
1,179,124,7.8125,27,circleShape,0
1,184,116,7.8125,29,circleShape,0
1,178,165,13.28125,31,circleShape,0
1,217,160,21.09375,33,circleShape,0
2,257,150,14.0625,35,circleShape,0
2,313,108,14.0625,37,circleShape,0
2,336,114,14.0625,39,circleShape,0
2,320,149,14.0625,41,circleShape,0
2,260,124,16.40625,43,circleShape,0
2,289,151,25,45,circleShape,0
2,279,103,21.875,47,circleShape,0
2,282,122,7.8125,49,circleShape,0
2,295,109,7.8125,51,circleShape,0
2,294,122,7.8125,53,circleShape,0
2,316,140,7.8125,55,circleShape,0
2,330,144,7.8125,57,circleShape,0
2,328,130,7.8125,59,circleShape,0
2,312,122,12.5,61,circleShape,0
3,346,143,14.0625,63,circleShape,0
3,359,103,14.0625,65,circleShape,0
3,385,115,14.0625,67,circleShape,0
3,416,145,14.0625,69,circleShape,0
3,378,150,25,71,circleShape,0
3,399,171,25,73,circleShape,0
3,403,114,7.8125,75,circleShape,0
3,401,127,7.8125,77,circleShape,0
3,414,125,7.8125,79,circleShape,0
3,352,116,7.8125,81,circleShape,0
3,365,118,7.8125,83,circleShape,0
3,356,127,7.8125,85,circleShape,0
3,372,128,7.8125,87,circleShape,0
3,404,137,7.8125,89,circleShape,0
1,198,145,20,17,image(assets/custom-white.png),0
