group_id,cx,cy,radius,z_index,shape,rotation
2,158,243,17.1875,5,circleShape,0
2,158,217,17.1875,7,circleShape,0
1,191,343,17.1875,9,circleShape,0
2,191,289,17.1875,11,circleShape,0
2,188,314,17.1875,13,circleShape,0
2,157,369,17.1875,15,circleShape,0
3,157,342,17.1875,17,circleShape,0
3,191,239,17.1875,19,circleShape,0
3,188,266,17.1875,21,circleShape,0
1,157,293,17.1875,23,circleShape,0
1,191,369,17.1875,25,circleShape,0
2,174,343,17.1875,27,circleShape,0
3,190,265,17.1875,29,circleShape,0
3,175,288,17.1875,31,circleShape,0
3,156,315,17.1875,33,circleShape,0
1,188,214,17.1875,35,circleShape,0
1,174,244,17.1875,37,circleShape,0
1,157,266,17.1875,39,circleShape,0
1,174,157,50,41,circleShape,0
1,171,156,35,41,image(assets/custom-black.png),0
