group_id,cx,cy,radius,z_index,shape,rotation
1,285,95,17.1875,5,heliumShape,0
1,376,139,17.1875,7,heliumShape,8
1,428,244,17.1875,9,heliumShape,8
1,191,139,17.1875,11,heliumShape,-8
1,136,244,17.1875,13,heliumShape,-8
2,124,283,17.1875,15,heliumShape,-8
2,169,170,17.1875,17,heliumShape,-8
2,250,100,17.1875,19,heliumShape,-3
2,319,99,17.1875,21,heliumShape,3
2,399,170,17.1875,23,heliumShape,6
2,440,283,17.1875,25,heliumShape,6
3,446,324,17.1875,27,heliumShape,6
3,415,206,17.1875,29,heliumShape,3
3,350,114,17.1875,31,heliumShape,3
3,218,115,17.1875,33,heliumShape,-3
3,151,206,17.1875,35,heliumShape,-7
3,116,323,17.1875,37,heliumShape,-7
