group_id,cx,cy,radius,z_index
1,312,67,48,5
1,260,56,10,7
2,260,32,10,9
2,251,82,10,11
1,247,64,22,13
2,231,61,22,15
3,225,39,22,17
1,216,94,22,19
1,197,53,22,21
2,194,100,22,23
3,193,98,22,25
1,173,33,22,27
2,168,87,22,29
2,161,58,22,31
3,149,297,22,33
2,148,260,22,35
2,148,175,22,37
1,148,72,10,39
2,147,57,10,41
1,146,287,10,43
3,144,114,22,45
1,130,206,22,47
3,129,220,22,49
2,127,41,22,51
1,125,277,22,53
2,124,141,22,55
2,116,171,10,57
2,116,88,22,59
1,114,302,22,61
1,113,355,48,63
2,103,227,22,65
2,103,193,22,67
1,101,146,10,69
3,99,250,22,71
1,95,128,22,73
2,91,214,10,75
1,82,311,22,77
3,80,175,22,79
1,78,71,22,81
3,73,273,22,83
2,69,117,22,85
3,67,149,22,87
1,64,224,10,89
2,61,223,22,91
