group_id,cx,cy,radius,z_index,shape,rotation
1,151,333,15.625,5,circleShape,0
1,183,363,15.625,7,circleShape,0
1,213,331,15.625,9,circleShape,0
1,271,360,15.625,11,circleShape,0
2,151,362,15.625,13,circleShape,0
2,214,363,15.625,15,circleShape,0
2,243,332,15.625,17,circleShape,0
3,181,331,15.625,19,circleShape,0
3,242,361,15.625,21,circleShape,0
3,273,329,15.625,23,circleShape,0
3,163,353,6.25,25,circleShape,0
3,218,352,6.25,27,circleShape,0
3,249,313,6.25,29,circleShape,0
2,166,345,6.25,31,circleShape,0
2,199,346,6.25,33,circleShape,0
2,228,360,6.25,35,circleShape,0
2,257,346,6.25,37,circleShape,0
1,165,356,6.25,39,circleShape,0
1,229,348,6.25,41,circleShape,0
1,258,317,6.25,43,circleShape,0
1,172,266,60,1,image(assets/foil1.png),0
1,245,266,60,1,image(assets/foil6.png),0
1,450,150,80,1,image(assets/digits.png),0
