filename,base_price,subscription_price,label,customizable
separator1,0,0,Organic Decor and Backdrops,false
freestand9.csv,100,80,Freestanding Garland 9ft,false
roundbackdrop9.csv,120,90,Round Backdrop and 9' Garland,true
separator2,0,0,Floor Standing Decor,false
crazytower.csv,100,80,Crazy Tower,true
numberstack1.csv,60,40,Number Stack (1 digit),false
numberstack16.csv,80,70,Number Stack (2 digits),false
separator3,0,0,Arches,false
stringofpearls.csv,60,50,String of Pearls Arch (Helium),false
classicspiralarch.csv,175,150,Full Spiral Arch (Air-Filled),false
